ESPN RNK	"PLAYER, TEAM POS"	    C/A	  YDS	   TD	  INT	 RUSH	  YDS	   TD	  REC	  YDS	   TD	PTS
111	"Harry Douglas, Atl WR"	0/0	0	0	0	0	0	0	0	0	0	0
112	"Adrian Arrington, NO WR"	0/0	0	0	0	0	0	0	0	0	0	0
113	"David Gettis, Car WR"	0/0	0	0	0	0	0	0	0	0	0	0
114	"Brad Smith, Buf WR"	0/0	0	0	0	0	0	0	0	0	0	0
115	"Michael Jenkins, Min WR"	0/0	0	0	0	0	0	0	0	0	0	0
116	"Cecil Shorts, Jac WR"	0/0	0	0	0	0	0	0	0	0	0	0
117	"Josh Cribbs, Cle WR"	0/0	0	0	0	0	0	0	0	0	0	0
118	"Legedu Naanee, Mia WR"	0/0	0	0	0	0	0	0	0	0	0	0
119	"Jeremy Kerley, NYJ WR"	0/0	0	0	0	0	0	0	0	0	0	0
120	"Preston Parker, TB WR"	0/0	0	0	0	0	0	0	0	0	0	0
